nome,ocupacao,data_nascimento,data_morte,conteudo
Aécio Neves, Político brasileiro,10/03/1960,não informado,"Aécio Neves (1960) é um político e economista brasileiro. Foi deputado federal, governador de Minas Gerais, por dois mandatos, senador e candidato à Presidência da República em 2014."
Adolfo Caminha, Escritor brasileiro,29/05/1867,01/01/1897 (aos 29 anos),"Adolfo Caminha (1867-1897) foi um escritor brasileiro. Um dos principais representantes do naturalismo no Brasil. Sua obra, densa, trágica e pouco apreciada na época, é repleta de descrições de perversões e crimes."
Adolf Hitler, Político alemão,20/04/1889,30/04/1945 (aos 56 anos),"Adolf Hitler (1889-1945) foi um político alemão. Líder do Partido Nacional-Socialista dos Trabalhadores Alemães (Partido Nazista). Nomeado Chanceler começou a aplicar o programa nazista. Numa sucessão de golpes, atos ilegais e assassinatos instalou sua ditadura. Com a morte do presidente alemão acumulou a função de chanceler e presidente. Era o início do Terceiro Reich."
Adoniran Barbosa, Cantor e compositor brasileiro,06/08/1910,23/11/1982 (aos 72 anos),"Adoniran Barbosa (1910-1982) foi um cantor e compositor brasileiro. ""Saudosa Maloca"" foi seu primeiro sucesso como compositor. ""Trem das Onze"" é mais uma de suas músicas que retrata o cotidiano das camadas mais pobres da população urbana."
Adonias Filho, Escritor brasileiro,27/11/1915,02/08/1990 (aos 74 anos),"Adonias Filho (1915-1990) foi escritor brasileiro. Fez parte da terceira fase do Modernismo. Foi também jornalista, ensaísta, romancista e crítico literário. Seu universo ficcional tem invariavelmente como palco a região cacaueira do sul da Bahia. Foi eleito para a cadeira nº 21 da Academia Brasileira de Letras."
Adhemar Ferreira da Silva, Bicampeão olímpico de salto triplo,29/09/1927,12/01/2001 (aos 73 anos),"Adhemar Ferreira da Silva (1927-2001) foi um atleta paulista, o primeiro bicampeão olímpico, em salto triplo do país. Sua primeira competição foi o Troféu Brasil, quando obteve a marca de 13,05 metros. Foi tricampeão pan-americano e pentacampeão sul-americano. Foi dez vezes campeão brasileiro e colecionou mais de 40 títulos internacionais."
Adônis, Mito grego da agricultura,não informado,não informado,"Adônis foi um mito grego da agricultura, jovem mortal de grande beleza que tinham estreita relação com a terra. Embora a lenda de Adônis seja provavelmente de origem oriental, uma vez que “Adon” significa “senhor” em fenício, e esse povo havia sido grandes agricultores, mas foi na Grécia que sua lenda adquiriu maior significação."
Adriana Varejão, Artista plástica brasileira,não informado,não informado,Adriana Varejão é uma das mais celebradas artistas plásticas contemporâneas brasileira.
Adolfo Lutz, Médico brasileiro,18/12/1855,06/10/1940 (aos 84 anos),"Adolfo Lutz (1855-1940) foi um médico brasileiro, especialista em medicina tropical, responsável por experimentos visando confirmar a transmissão e combater o principal agente transmissor da febre amarela, o mosquito "
Adriana Esteves, Atriz brasileira,15/12/1969,não informado,Adriana Esteves (1969) é uma atriz brasileira conhecida por sua atuação em diversas novelas para a televisão. Possui um grande currículo em trabalhos em minisséries e também no cinema.
